Year,Team,Wins,Loss,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding %,Defensive Rebounding %,Rebounding %,Turnover %,Effective Field Goal %,True Shooting %,Pace,Player Impact Estimate
2013,Denver Nuggets,6,2,104.7,109.4,-4.6,57,1.46,15.8,30.8,68.1,47.8,14.7,47.9,52.6,98.17,44.8
2013,Houston Rockets,6,2,105.1,110.4,-5.4,52.4,1.14,14.1,29.1,73,50.4,16.6,49.6,53.7,95.5,44.6
2013,Los Angeles Clippers,6,2,107.8,113.6,-5.8,51.2,1.35,15.3,28.7,66.7,48.2,15.2,50.6,55.2,88,45.9
2013,Los Angeles Lakers,4,0,92.9,112.7,-19.8,53.6,1.12,15.3,24.9,72.8,48,18,47.4,49.5,92,37.8
2013,Milwaukee Bucks,4,0,93.9,110.2,-16.3,59.4,1.22,16.1,27.4,66.5,45.5,17.9,47.2,49.8,90.75,39.5
2012,Miami Heat,23,16,108.6,101.2,7.4,50,1.34,14.6,30,68.9,50,14.5,50.5,55.2,88.59,56.2
2012,Oklahoma City Thunder,20,13,110.2,105.6,4.5,48.4,1.56,14.8,26.4,71.9,49.4,12.6,50.8,55.8,91.98,53.3
2012,Boston Celtics,20,11,99.5,98.4,1.1,58.6,1.52,16.5,25.3,71.6,49.1,14.5,46.8,51.6,88.57,52.1
2012,San Antonio Spurs,14,10,109.3,102.8,6.5,60.3,1.6,18,24.9,71.7,49.3,15.3,54.1,57.4,93.36,52.9
2012,Philadelphia 76ers,13,7,96.1,97.2,-1,56.6,1.57,15.2,26.2,70.9,47.9,12.9,43.6,48.2,89.31,47.9
2012,Indiana Pacers,11,6,102.5,100.5,1.9,48.2,1.08,13.4,35.6,70.3,52.8,17,46.1,50.7,88.08,50.5
2012,Los Angeles Lakers,12,5,104,108.1,-4.1,53.6,1.51,14.9,33.9,66.3,49.9,13.8,45.4,50.2,90.63,47.6
2012,Los Angeles Clippers,11,4,100.5,105.7,-5.2,50.1,1.17,14.5,26.7,66.9,46.9,16.3,49.9,53,89.56,46.4
2012,Denver Nuggets,7,3,105.8,106,-0.2,54.3,1.87,15.9,37.3,64,50.8,12.2,46,49.2,91.14,49.6
2012,Memphis Grizzlies,7,3,102.1,101.1,1,50,1.06,13.3,36.7,70.9,53.3,17.2,44.9,50.9,88.33,50.5
2012,Atlanta Hawks,6,2,91.3,96.1,-4.8,55,1.14,14.6,26.5,78,51.1,17,43.8,47.5,88.63,43
2012,Chicago Bulls,6,2,94.8,97.4,-2.6,66.2,1.57,17.7,32.9,76.1,54.5,16.1,44.8,47.5,88.67,49.8
